epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.102,2.11035,11.3927,2.14372,0.00047,0.04493,0.02475,0.01462,2.57816,13.7149,1.90661,0.08614,0.00014,0.00014
2,293.776,1.90896,9.61974,2.16334,0.00159,0.04089,0.0185,0.01106,2.43027,13.4782,1.80597,0.0712881,0.000288086,0.000288086
3,474.016,1.84099,9.16205,2.16025,0.20597,0.08051,0.0764,0.05132,2.32344,13.3742,1.77986,0.0564342,0.000434192,0.000434192
4,651.222,1.81394,8.95152,2.14491,0.06361,0.10017,0.08531,0.03566,2.41198,12.513,1.95996,0.0415783,0.000578318,0.000578318
5,804.306,1.78357,8.72932,2.08557,0.04979,0.08153,0.07041,0.01574,2.46373,24.6499,2.00189,0.0267205,0.000720464,0.000720464
6,971.601,1.78775,8.60191,2.09034,0.44759,0.09016,0.10932,0.05469,2.20664,11.9923,1.68805,0.0118606,0.00086063,0.00086063
7,1138.2,1.76465,8.42598,2.09396,0.37315,0.15703,0.15409,0.09139,2.13776,10.176,1.64493,0.0009604,0.0009604,0.0009604
8,1284.07,1.76253,8.39983,2.03497,0.31431,0.44845,0.27535,0.16514,2.0172,9.93233,1.56281,0.0009538,0.0009538,0.0009538
9,1420.48,1.78593,8.01967,2.10852,0.11874,0.25066,0.18709,0.07905,2.29227,13.2757,1.75181,0.0009472,0.0009472,0.0009472
10,1581.41,1.76529,8.38656,2.11484,0.17349,0.25681,0.17804,0.11093,2.06461,11.6236,1.51555,0.0009406,0.0009406,0.0009406
11,1748.23,1.74495,8.16208,1.99457,0.28992,0.26246,0.21265,0.13561,1.93726,8.44823,1.4407,0.000934,0.000934,0.000934
12,1917.17,1.71989,8.17677,2.04029,0.17602,0.28678,0.21064,0.13284,1.95518,8.894,1.41714,0.0009274,0.0009274,0.0009274
